"Date","smR"
2020-11-17,1.11755308758887
2020-11-18,1.15071417254647
2020-11-19,1.16396071532227
2020-11-20,1.15651497390497
2020-11-21,1.13381808338191
2020-11-22,1.05238563902387
2020-11-23,0.985895180458213
2020-11-24,0.947342100349094
2020-11-25,0.928920288299086
2020-11-26,0.912684373081693
2020-11-27,0.897357732430034
2020-11-28,0.886352818878205
2020-11-29,0.887627697187104
2020-11-30,0.892920346817493
2020-12-01,0.896845903336811
2020-12-02,0.902664076605591
2020-12-03,0.907334782472876
2020-12-04,0.907754327730585
2020-12-05,0.89947246521682
2020-12-06,0.894178310392927
2020-12-07,0.894398987687765
2020-12-08,0.886230437064235
2020-12-09,0.879896728384358
2020-12-10,0.881491239992296
2020-12-11,0.845566361313399
2020-12-12,0.854879064432995
