"Region","Date","Rt"
"Andhra Pradesh",2021-03-04,1.32221952650523
"Andhra Pradesh",2021-03-05,1.30652992881917
"Andhra Pradesh",2021-03-06,1.30698931515026
"Andhra Pradesh",2021-03-07,1.33842590109138
"Andhra Pradesh",2021-03-08,1.30395532414431
"Andhra Pradesh",2021-03-09,1.36495452522624
"Andhra Pradesh",2021-03-10,1.40794506321433
"Andhra Pradesh",2021-03-11,1.42295117791356
"Andhra Pradesh",2021-03-12,1.40903735084703
"Andhra Pradesh",2021-03-13,1.4354345744208
"Andhra Pradesh",2021-03-14,1.41966782377659
"Andhra Pradesh",2021-03-15,1.46178128117878
"Andhra Pradesh",2021-03-16,1.47132957257489
"Andhra Pradesh",2021-03-17,1.51991842628284
"Andhra Pradesh",2021-03-18,1.59875720598265
"Andhra Pradesh",2021-03-19,1.698815800643
"Andhra Pradesh",2021-03-20,1.73442655087607
"Andhra Pradesh",2021-03-21,1.81451072959083
"Andhra Pradesh",2021-03-22,1.86396049858315
"Andhra Pradesh",2021-03-23,1.83012271138755
"Andhra Pradesh",2021-03-24,1.86400746229448
"Andhra Pradesh",2021-03-25,1.85045757106285
"Andhra Pradesh",2021-03-26,1.85048958200951
"Andhra Pradesh",2021-03-27,1.85783080073649
"Andhra Pradesh",2021-03-28,1.88886246009621
"Andhra Pradesh",2021-03-29,1.80774977865727
"Andhra Pradesh",2021-03-30,1.83061127164136
"Andhra Pradesh",2021-03-31,1.8227537893554
"Andhra Pradesh",2021-04-01,1.77114088302592
"Andhra Pradesh",2021-04-02,1.73067629898116
"Andhra Pradesh",2021-04-03,1.7176859641954
"Andhra Pradesh",2021-04-04,1.64159997631993
"Andhra Pradesh",2021-04-05,1.60175267821526
"Andhra Pradesh",2021-04-06,1.58425862977542
"Andhra Pradesh",2021-04-07,1.56301513233325
"Andhra Pradesh",2021-04-08,1.58734130911962
"Andhra Pradesh",2021-04-09,1.60856493686609
"Andhra Pradesh",2021-04-10,1.62295571415554
"Andhra Pradesh",2021-04-11,1.65630156956928
"Andhra Pradesh",2021-04-12,1.71334231800212
